type,kex,leaf,int,root,cached_int,rtt,drop_rate,rate,measurements,name,client emitted ch,client emitted ch stdev,client derived ephemeral keys,client derived ephemeral keys stdev,client received sh,client received sh stdev,client encapsulating to server,client encapsulating to server stdev,client submitted ckex to server,client submitted ckex to server stdev,client switched to ahs keys,client switched to ahs keys stdev,client client encrypting traffic,client client encrypting traffic stdev,client authenticated server,client authenticated server stdev,client handshake completed,client handshake completed stdev,client received server reply,client received server reply stdev,server encapsulated ephemeral,server encapsulated ephemeral stdev,server emitted sh,server emitted sh stdev,server derived ephemeral keys,server derived ephemeral keys stdev,server sent certificate,server sent certificate stdev,server received ckex,server received ckex stdev,server decapsulated ckex,server decapsulated ckex stdev,server switched to ahs keys,server switched to ahs keys stdev,server emitted sf,server emitted sf stdev,server server encrypting traffic,server server encrypting traffic stdev,server server reading traffic,server server reading traffic stdev,server handshake completed,server handshake completed stdev
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,209.126,0,10mbit,20000,KKS,54.9829846,23.640914694910673,435523.50978455,36148.687394753135,435426.70846825,36139.1090506741,653362.30225685,43903.41670407354,653420.17652375,43904.12480510267,653437.7291293,43904.272579894496,653452.5163485,43904.5454755551,869461.8572765,52837.74382995035,869503.0422732,52844.47786042427,869509.09110735,52845.920023170715,86.1230385,47.501852935091186,99.6184387,52.25285307627013,124.7504637,60.44479242784414,203.51730355,93.33263937632888,440134.7942911,35195.072574698286,440194.0872799,35196.656938184504,440212.96292565,35197.27395787076,,,,,440224.59206675,35197.394323775145,440241.52357765,35197.63165263437
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,37.900,0,10mbit,20000,KKS,49.13180355,22.81409628757248,170364.77716775,38445.184672057876,170275.0810896,38428.070100144054,253176.1046666,36667.758183650454,253230.0025586,36670.027714561475,253246.45755865,36670.35454753279,253260.5519573,36670.63053896121,343548.6588421,33361.50630923447,343599.27400745,33373.921011038845,343606.96003855,33375.3048727616,73.50504215,30.055446089134232,86.2283822,34.485592270032626,109.44680865,41.1213690814714,180.3208638,56.49542406541848,164375.4330152,37691.394298142295,164422.48379175,37693.45872938935,164438.81308195,37693.76397411148,,,,,164448.9813087,37693.87441220342,164463.8659957,37694.037325933736
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,40.384,0,1000mbit,20000,KKS,45.3286343,21.2944416787171,66286.19636185,6679.861752990083,66173.61037925,6672.053345890086,101828.84526965,8918.85845324784,101904.18204525,8922.99398015429,101923.38749715,8923.773223121445,101939.25213515,8924.183242089428,135172.08682415,11095.10939939441,135217.16734855,11098.051275781714,135225.71938885,11098.467537224153,70.5303962,46.65879250357986,80.63745535,48.926561007451845,100.19287785,53.541046458016865,167.4370109,66.76694344438366,69282.3791564,8236.495593834654,69323.9358002,8238.194022859629,69339.33227275,8238.377333503815,,,,,69348.6290569,8238.499575429372,69362.6199739,8238.60223593606
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,209.126,0,1000mbit,20000,KKS,51.34287485,59.155667321510286,431305.6665513,30341.37871070995,431188.20158135,30337.34048685507,649514.21256315,37113.068452891486,649804.59060445,37130.376632894804,649832.82483945,37132.01298155578,649856.66320595,37132.68138146037,859910.7253218,41965.275627953924,859965.47144045,41967.803203120784,859976.33158205,41968.309644362824,72.68163865,36.43536898054298,82.7961853,40.19568802652544,103.46779395,44.37830808055776,178.6021728,60.47010748834107,431913.1284695,27980.07508014255,431959.377925,27981.526379315153,431976.79956355,27981.725814074405,,,,,431987.4867396,27981.84924087152,432003.6031555,27981.721424846393
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,40.384,0,10mbit,20000,KKS,58.6102822,55.48649412745133,168265.55684145,37200.18206578647,168156.0642028,37184.815065503484,252017.66783115,33767.6741179509,252084.36845435,33769.62107396319,252101.95295065,33769.86050264946,252115.74838805,33770.086128639494,341015.15836585,29570.813235336154,341068.6826138,29584.129133416438,341076.36971775,29585.876157072875,87.309573,56.342889693625246,100.8916589,64.32916218475972,125.5299429,77.72546327229632,198.5574763,107.83681913291338,164790.2000087,36784.902189592234,164853.33139915,36785.47514210786,164871.6348953,36785.4614205633,,,,,164882.71159905,36785.42853994524,164898.8461164,36785.460420815565
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,37.900,0,1000mbit,20000,KKS,44.18848875,46.909536841684,67456.7992042,15103.351311182012,67355.92985145,15097.71212617702,103220.68524345,18501.731963669798,103289.11305715,18506.092614353765,103306.48581045,18506.158123765003,103321.7234142,18506.334215234914,136913.0654145,21356.881926338014,136954.75494375,21359.11894815815,136962.3456208,21360.02851230336,67.79535595,34.83343548808306,78.03378265,37.08994443551406,98.0466566,44.21212477952459,165.69741905,55.234830922521155,69940.19354175,14582.176040447608,69979.5057882,14582.678438176965,69994.7117771,14583.057405658681,,,,,70003.95549515,14583.261298332543,70017.6735839,14583.498401923001
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,215.666,0,10mbit,20000,KKS,54.80405355,23.57185527586108,429989.89031945,33217.58185808817,429895.9294531,33207.32214394951,645550.6636822,40676.332473319446,645608.20520715,40676.640839540254,645625.90127365,40677.004321452325,645640.8515436,40677.33494187213,859704.8518206,49808.76460741543,859743.1232257,49817.630598122676,859748.46999985,49819.33476480626,85.66886375,45.915705055338336,99.17276435,50.095172487700324,124.2923036,56.60326703745282,202.5820725,86.49203665122904,434690.06085775,33108.37674579161,434748.0212001,33110.067845773076,434766.94993495,33111.143436256745,,,,,434778.7045415,33111.56034922564,434795.99134975,33112.38712058701
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,40.384,0,1000mbit,20000,KSSR,46.0497863,27.35822052582275,82297.95872865,5334.971021046059,82229.49728365,5333.7314997069825,,,,,,,,,119305.7913799,6158.980997532609,119426.95651695,6229.742281339917,152307.1440697,6772.802359395136,75.67974355,91.94697310421226,84.86814605,98.22565564258271,100.42237595,99.3244316435925,,,,,,,,,17299.07850165,4059.7079190974982,101.5649634,99.60558640158634,,,87470.81541615,5710.710466925607
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,215.666,0,10mbit,20000,KSSR,56.1458469,35.064762824933794,468539.3075707,41635.33364786195,468450.5529746,41630.35755003772,,,,,,,,,760048.6309184,54317.25460669256,760108.92713235,54325.33081246839,986701.96609725,51507.79583724294,88.5551966,162.82618360563674,99.50100305,163.87708033287163,117.99147285,166.66261349428402,,,,,,,,,17427.58517185,4037.244773383082,119.60494285,167.59472385705024,,,552151.73678395,55778.42810276527
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,209.126,0,1000mbit,20000,KSSR,57.19334325,71.14369420007897,437912.9341994,28832.448491048737,437832.7419682,28833.60990543588,,,,,,,,,649403.01485275,34223.06400728246,649603.9115002,34258.7456983403,856674.6486238,38890.35470392741,101.04167915,217.16749981300669,112.6882989,226.5101698750738,134.82831695,277.61356402445256,,,,,,,,,18939.7056045,4616.8012805014605,136.18038725,278.62502637131,,,434967.11402995,26164.630551346672
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,40.384,0,10mbit,20000,KSSR,53.0105567,38.07979522677887,225086.76809445,77290.59546087042,224997.89387695,77286.1623920027,,,,,,,,,488346.03486995,93731.32055819522,488399.65584015,93730.90435454155,646681.70644295,35758.982636030305,100.44435585,429.0830309890937,116.07719125,478.65254431730847,136.29073465,507.24943312770137,,,,,,,,,23406.39342605,9314.80651118494,144.67483415,577.7341031234748,,,425422.9938308,115871.00949471472
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,37.900,0,1000mbit,20000,KSSR,44.8487723,37.68583710941266,81700.34804095,4420.70750978049,81634.16955495,4420.765659063586,,,,,,,,,118622.218365,5252.615472509301,118738.7316311,5329.755954055314,151561.77224875,5848.277957376095,72.9864719,53.25270028977797,81.9586679,57.91374795977848,97.55234785,80.13316625564386,,,,,,,,,16806.6889989,3261.417827945473,98.6854599,80.607445890728,,,86836.87595715,4993.077938372542
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,37.900,0,10mbit,20000,KSSR,52.40705735,52.82710537427706,225145.11017515,77153.11358430424,225053.4629268,77147.15046691528,,,,,,,,,488396.42237805,93724.3681932212,488452.124011,93723.47225164737,646148.97838035,35074.40935274263,107.42735735,477.0479521486983,121.86788435,508.415626710815,143.19267775,552.0060355774865,,,,,,,,,23404.3148493,9281.8810860828,153.52044195,611.9145495269487,,,425714.3036584,116344.67735094042
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,215.666,0,1000mbit,20000,KSSR,56.90010975,113.79501300046938,434216.37922855,26224.382770758202,434141.6649441,26224.14141705593,,,,,,,,,645622.3646168,32418.82672110129,645870.7193568,32487.618015354747,852865.1680115,37708.94522536009,109.06013905,363.1698922299195,122.88968835,390.59760827830087,143.45504085,418.79869231672933,,,,,,,,,18108.927136,4770.125347696894,146.25674385,436.5139688039008,,,433889.995204,25268.76212106778
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,RainbowIaCyclic,False,209.126,0,10mbit,20000,KSSR,58.94604565,28.566050805870912,470654.565653,45816.76839889121,470557.7651743,45809.62264312083,,,,,,,,,753724.6619187,58508.707369244934,753789.68674505,58515.861473103956,981058.84579615,61605.40108354655,91.7500009,112.19494122046446,103.05130825,114.17226796973992,121.5967373,116.24287992054653,,,,,,,,,17472.5390671,4109.728673524959,122.9321929,116.76191197403921,,,543129.30676485,59508.41242973135
